data_hora;semana_do_ano;semana_ano;mes;mes_ano;bimestre;bimestre_ano;trimestre;trimestre_ano;ano;latitude;longitude;geometry;tipo_dado;cluster_label
2025-01-07 11:57:16;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.8636601547357;-43.97372014278581;POINT (-43.973704 -19.8636706);teste;-2
2025-01-07 16:13:37;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.826923840040855;-43.96466753184338;POINT (-43.964658 -19.8269253);teste;-2
2025-01-07 21:16:34;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.907329509025207;-44.024503526988866;POINT (-44.0244921 -19.9073435);teste;-2
2025-01-07 23:55:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.891282631700548;-44.00740326143262;POINT (-44.00741206 -19.89128884);teste;-2
2025-01-07 23:55:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.967518377962737;-43.96639283835997;POINT (-43.9664159 -19.9675122);teste;-2
2025-01-08 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.80252797134024;-43.9873388081958;POINT (-43.98733 -19.802523);teste;-2
2025-01-08 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.912288074648067;-43.93899785242237;POINT (-43.9389955 -19.9122808);teste;-2
2025-01-08 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.914348894519783;-43.98662900429243;POINT (-43.98662207 -19.91436107);teste;-2
2025-01-08 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.916040148546127;-43.94102174121399;POINT (-43.9410239534664 -19.9160360980366);teste;-2
2025-01-08 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.96469549472797;-43.9916290740865;POINT (-43.99162299 -19.96468751);teste;-2
2025-01-08 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.828829198555887;-43.906739402660335;POINT (-43.9067422304591 -19.8288323963363);teste;-2
2025-01-08 00:31:02;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.811513971671065;-43.993861349733834;POINT (-43.993868 -19.811513);teste;-2
2025-01-08 00:31:02;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.869879594314874;-43.91671415824938;POINT (-43.91670192 -19.86988254);teste;-2
2025-01-08 00:55:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.86986364186096;-43.91669920485685;POINT (-43.91670192 -19.86988254);teste;-2
2025-01-08 00:55:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.811503869291943;-43.99388594056023;POINT (-43.993868 -19.811513);teste;-2
2025-01-08 01:25:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.87154678989446;-43.915881375339644;POINT (-43.91587881 -19.87154706);teste;-2
2025-01-08 01:25:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.937849164233842;-43.917234906804254;POINT (-43.91723167 -19.93783508);teste;-2
2025-01-08 01:26:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.871552059624975;-43.91588110137051;POINT (-43.91587881 -19.87154706);teste;-2
2025-01-08 01:26:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.937827969538972;-43.91723479060456;POINT (-43.91723167 -19.93783508);teste;-2
2025-01-08 01:30:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.888973240410397;-43.95040155927121;POINT (-43.95039661 -19.88896153);teste;-2
2025-01-08 01:30:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.853249895478836;-43.96144179957048;POINT (-43.9614391417487 -19.8532713051818);teste;-2
2025-01-08 02:18:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.888961385834374;-43.95039422862308;POINT (-43.95039661 -19.88896153);teste;-2
2025-01-08 02:18:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.96302891151607;-43.94783093742793;POINT (-43.9478336 -19.9630294);teste;-2
2025-01-08 03:09:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.93318596645193;-43.92641914800655;POINT (-43.9264203 -19.9331793);teste;-2
2025-01-08 03:16:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.963024432622433;-43.94783933597424;POINT (-43.9478336 -19.9630294);teste;-2
2025-01-08 03:16:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.915928330018065;-43.941603186633515;POINT (-43.94161399 -19.91591675);teste;-2
2025-01-08 03:49:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.91038145107411;-43.911191946449165;POINT (-43.9112072 -19.9104031);teste;-2
2025-01-08 04:48:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.964761623078253;-43.991965722444455;POINT (-43.9919528383013 -19.9647747965913);teste;-2
2025-01-08 04:48:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.95439145703555;-43.93463925730844;POINT (-43.9346409 -19.9544013);teste;-2
2025-01-08 09:11:02;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.898079004290057;-43.90152578141932;POINT (-43.9015211 -19.8980651);teste;-2
2025-01-08 11:33:31;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.857762245867296;-43.96441514401947;POINT (-43.9644244 -19.8577643);teste;-2
2025-01-08 11:57:17;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.84252790913602;-43.96999012594201;POINT (-43.96999 -19.84254);teste;-2
2025-01-08 12:01:17;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.842392168946006;-43.94636986822052;POINT (-43.9463704 -19.8423981);teste;-2
2025-01-08 13:53:52;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.947280721091047;-43.97509005032177;POINT (-43.975095 -19.9472707);teste;-2
2025-01-08 23:10:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.964694010937553;-43.99162596538959;POINT (-43.99162299 -19.96468751);teste;-2
2025-01-08 23:10:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.95440581936138;-43.934624125189224;POINT (-43.9346409 -19.9544013);teste;-2
2025-01-09 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.909590934378343;-43.93596900260272;POINT (-43.9359741 -19.9095849);teste;-2
2025-01-09 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.911889102211642;-43.93412064392505;POINT (-43.93412996 -19.91190439);teste;-2
2025-01-09 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.92928641013139;-43.959955105555956;POINT (-43.9599529 -19.9292672);teste;-2
2025-01-09 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.923313740808602;-43.93728352855661;POINT (-43.9372823 -19.9233203);teste;-2
2025-01-09 01:01:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.912293723033752;-43.9389873837514;POINT (-43.9389955 -19.9122808);teste;-2
2025-01-09 01:01:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.860211462514872;-43.95048715817732;POINT (-43.95049427 -19.86020185);teste;-2
